Symbol,Issue Price,Maturity Date,Years To Maturity,Interest Value,Fair Value,Ask Price,Disc to Gold Price,Disc to Fair Value,YTM,Volume
SGBMAR24,2916,3/29/2024,1.02,40.1,5940.72,5850.0,0.24,1.53,1.58,3.02
SGBNOV24,3007,11/17/2024,1.66,37.59,6003.72,5800.0,1.09,3.39,2.21,14.91
SGBSEP24,3150,9/30/2024,1.52,43.31,6025.0,5780.0,1.43,4.07,2.9,5.22
SGBNOV25VI,2945,11/6/2025,2.63,36.81,6063.42,5830.0,0.58,3.85,1.64,0.09
SGBNOV258,2961,11/20/2025,2.66,37.01,6064.5,5990.0,-2.15,1.23,0.6,0.33
SGBJAN26,2881,1/1/2026,2.78,36.01,6059.09,5899.0,-0.6,2.64,1.09,1.72
SGBNOV26,3183,11/13/2026,3.65,39.79,6143.3,5788.0,1.3,5.78,1.82,0.5
SGBOCT27,3788,10/15/2027,4.57,47.35,6267.91,5500.0,6.21,12.25,3.15,0.7
SGBJUL28IV,4852,7/14/2028,5.31,60.65,6381.36,5451.07,7.04,14.58,3.28,27.86
SGBJUN29II,4842,6/1/2029,6.2,60.52,6466.47,5447.5,7.1,15.76,3.12,13.63
SGBMAY25,2951,5/12/2025,2.14,36.89,6001.11,5850.0,0.24,2.52,1.28,5.62
SGBDEC25,2961,12/4/2025,2.7,37.01,6064.5,5985.0,-2.06,1.31,0.62,1.38
SGBDEC25XI,2952,12/11/2025,2.72,36.9,6063.89,5850.0,0.24,3.53,1.46,0.56
SGBOCT26,3146,10/23/2026,3.59,39.33,6140.05,5595.0,4.59,8.88,2.8,0.52
SGBJAN27,3214,1/22/2027,3.84,40.17,6146.02,5690.0,2.97,7.42,2.2,0.63
SGBOC28VII,5051,10/20/2028,5.58,63.14,6492.47,5476.0,6.62,15.66,3.46,18.65
SGBJAN29IX,5000,1/5/2029,5.79,62.5,6486.13,5425.0,7.49,16.36,3.48,33.05
SGBD29VIII,4791,12/7/2029,6.71,59.89,6540.49,5448.9,7.08,16.69,3.13,22.84
SGBJUL25,2830,7/28/2025,2.35,35.38,5995.49,5868.0,-0.07,2.13,0.99,10.31
SGBOCT25IV,2987,10/23/2025,2.59,37.34,6066.26,5900.0,-0.61,2.74,1.22,0.83
SGBDEC2513,2866,12/26/2025,2.76,35.83,6058.07,5909.55,-0.78,2.45,1.03,0.26
SGBDEC26,3119,1/1/2027,3.78,38.99,6137.68,5739.0,2.13,6.5,1.96,0.29
SGBJ28VIII,4016,1/21/2028,4.83,50.2,6292.22,5440.05,7.23,13.54,3.3,2.55
SGBMAY28,4590,5/19/2028,5.16,57.38,6353.42,5459.8,6.89,14.07,3.24,26.44
SGBMR29XII,4662,3/9/2029,5.97,58.28,6444.07,5446.99,7.11,15.47,3.17,49.3
SGBJU29III,4889,6/8/2029,6.22,61.11,6472.31,5463.0,6.84,15.59,3.08,16.53
SGBNOV25,2934,11/13/2025,2.65,36.67,6062.68,5845.0,0.32,3.59,1.53,0.6
SGBMAR25,2943,3/17/2025,1.99,36.79,6000.74,5798.0,1.13,3.38,1.84,6.12
SGBJUN27,3196,6/11/2027,4.22,39.95,6144.44,5520.0,5.87,10.16,2.73,3.43
SGBMAR30X,5109,3/8/2030,6.96,63.86,6585.4,5545.0,5.44,15.8,2.88,8.7
SGBOCT25,2956,10/16/2025,2.57,36.95,6064.17,5801.0,1.07,4.34,1.88,1.63
SGBOCT25V,2971,10/30/2025,2.61,37.14,6065.18,6093.0,-3.91,-0.46,-0.04,0.05
SGBDEC2512,2890,12/18/2025,2.74,36.12,6059.7,5949.99,-1.47,1.81,0.8,0.21
SGBAUG27,3499,8/14/2027,4.4,43.74,6171.02,5550.0,5.35,10.06,2.6,4.07
SGBJUN28,4677,6/16/2028,5.24,58.46,6362.7,5432.0,7.37,14.63,3.33,22.43
SGBJAN29X,5104,1/19/2029,5.83,63.8,6499.07,5443.5,7.17,16.24,3.44,7.26
SGBFEB29XI,4912,2/9/2029,5.89,61.4,6475.18,5454.0,6.99,15.77,3.29,8.81
SGBNOV23,2684,11/30/2023,0.69,36.9,5934.62,5840.0,0.41,1.59,2.44,6.15
SGBAUG24,3119,8/5/2024,1.37,42.89,5946.06,5800.0,1.09,2.46,1.88,11.69
SGBFEB24,2600,2/8/2024,0.88,35.75,5932.41,5849.0,0.26,1.41,1.68,10.65
SGBJUL27,3443,7/16/2027,4.32,43.04,6166.11,5500.0,6.21,10.8,2.85,0.53
SGBFEB28IX,4070,2/11/2028,4.89,50.88,6297.97,5469.0,6.74,13.16,3.18,2.2
SGBSEP28VI,5117,9/8/2028,5.47,63.96,6409.61,5465.0,6.8,14.74,3.23,18.99
