"Symbol","ISIN","Issue Price","Maturity Date","Years To Maturity","Interest Date 1","Interest Date 2","Interest Payable","Interest Value","No of Remaining Interest Payments","Total Remaining Interest","Present Value of Future Interest Payments","Fair Value","Ask Price","Average Trading Volume","Discount to Fair Value","Discount to Gold Price","Total Yield to Maturity"
"SGBMAR24","IN0020150119",2916,"3/29/2024",1.0181502877980722,"March29","September29",2.75,40.095,2,80.19,76.7205674427373,5940.720567442737,5850,3.021428571428572,0.0152709703162808,0.0023874488403819918,0.015811571961707127
"SGBNOV24","IN0020160076",3007,"11/17/2024",1.6565064522133435,"November17","May17",2.5,37.5875,4,150.35,139.71643621563496,6003.7164362156345,5800,14.912857142857145,0.03393172185594504,0.010914051841746248,0.022149507583012706
"SGBSEP24","IN0020160043",3150,"9/30/2024",1.5249996058789954,"September30","March30",2.75,43.3125,4,173.25,160.99682457172435,6024.996824571725,5780,5.22,0.04066339480421879,0.01432469304229195,0.028965633407192604
"SGBNOV25VI","IN0020170083",2945,"11/6/2025",2.6263694595700153,"November6","May6",2.5,36.8125,6,220.875,199.42036002776598,6063.420360027766,5830,0.09142857142857141,0.038496483200563904,0.005798090040927694,0.01642558239432379
"SGBNOV258","IN0020170109",2961,"11/20/2025",2.664725626966007,"November20","May20",2.5,37.0125,6,222.075,200.5037983165416,6064.503798316541,5990,0.33285714285714285,0.012285225765251042,-0.021487039563437928,0.005989196406401831
"SGBJAN26","IN0020170166",2881,"1/1/2026",2.779794107496195,"January1","July1",2.5,36.0125,6,216.075,195.08660687266342,6059.086606872664,5899,1.72,0.02642091411782786,-0.0059686221009549794,0.010935775345707999
"SGBNOV26","IN0020180314",3183,"11/13/2026",3.645547512969305,"November13","May13",2.5,39.7875,8,318.3,279.29600299114304,6143.296002991143,5788,0.5028571428571429,0.057834752357391016,0.01296043656207367,0.01824221571068274
"SGBOCT27","IN0020190370",3788,"10/15/2027",4.566095455194064,"October15","April15",2.5,47.35,10,473.5,403.90510432133584,6267.905104321336,5500,0.6971428571428573,0.12251383700622914,0.06207366984993179,0.03152781997934517
"SGBJUL28IV","IN0020200146",4852,"7/14/2028",5.314040666920345,"July14","January14",2.5,60.65,10,606.5,517.3568020504545,6381.3568020504545,5451.07,27.86285714285714,0.14578197566880063,0.07041780354706689,0.032788038099576866
"SGBJUN29II","IN0020210061",4842,"6/1/2029",6.196232476185946,"June1","December1",2.5,60.525,12,726.3,602.4660917106773,6466.466091710678,5447.5,13.62857142857143,0.1575769635623519,0.07102660300136425,0.031212342565670737
"SGBMAY25","IN0020170018",2951,"5/12/2025",2.138698194824962,"May12","November12",2.5,36.8875,4,147.55,137.1144673336677,6001.114467333668,5850,5.619999999999999,0.025181067309454047,0.0023874488403819918,0.01281863091336466
"SGBDEC25","IN0020170125",2961,"12/4/2025",2.7030815927511416,"December4","June4",2.5,37.0125,6,222.075,200.5037983165416,6064.503798316541,5985,1.3842857142857141,0.013109695526715774,-0.0206343792633015,0.00621476670323462
"SGBDEC25XI","IN0020170133",2952,"12/11/2025",2.7222598419583965,"December11","June11",2.5,36.9,6,221.4,199.8943642791053,6063.8943642791055,5850,0.5614285714285715,0.03527343179642179,0.0023874488403819918,0.014597446885412868
"SGBOCT26","IN0020180249",3146,"10/23/2026",3.588013266330543,"October23","April23",2.5,39.325,8,314.6,276.0493953534829,6140.049395353483,5595,0.5228571428571429,0.08876954569224679,0.0458731241473397,0.02803861681208364
"SGBJAN27","IN0020180462",3214,"1/22/2027",3.837328328640284,"January22","July22",2.5,40.175,8,321.4,282.016133714588,6146.016133714588,5690,0.6342857142857142,0.07419702841537723,0.029672578444747612,0.021993458748102324
"SGBOC28VII","IN0020200203",5051,"10/20/2028",5.582533811358448,"October20","April20",2.5,63.1375,12,757.65,628.4709271438727,6492.470927143872,5476,18.650000000000002,0.15656149077143916,0.06616643929058663,0.03461491278263695
